method,backbone_id,seed_left,seed_right,seed_pair_identity_pct,seed_pair_diversity_pct
base,2243,43,44,66.10169491525424,33.89830508474576
base,2250,42,43,75.77142857142857,24.22857142857143
base,2250,42,44,76.8,23.2
base,2250,43,44,75.54285714285714,24.457142857142856
base,2261,42,43,68.13417190775681,31.865828092243188
base,2261,42,44,68.86792452830188,31.132075471698116
base,2261,43,44,64.77987421383648,35.22012578616353
base,2263,42,43,79.54545454545455,20.45454545454546
base,2263,42,44,76.94805194805194,23.051948051948056
base,2263,43,44,77.59740259740259,22.4025974025974
base,2273,42,43,47.47899159663865,52.52100840336135
base,2273,42,44,36.554621848739494,63.4453781512605
base,2273,43,44,30.252100840336134,69.74789915966386
base,2279,42,43,70.50691244239631,29.493087557603694
base,2279,42,44,67.74193548387096,32.25806451612904
base,2279,43,44,73.27188940092167,26.728110599078335
base,2286,42,43,69.7841726618705,30.215827338129497
base,2286,42,44,70.93525179856115,29.06474820143885
base,2286,43,44,72.94964028776978,27.05035971223022
base,2295,42,43,73.45597897503285,26.544021024967147
base,2295,42,44,72.79894875164258,27.201051248357423
base,2295,43,44,70.69645203679369,29.303547963206313
base,2308,42,43,60.43956043956044,39.56043956043956
base,2308,42,44,64.52119309262166,35.478806907378335
base,2308,43,44,66.40502354788069,33.594976452119305
base,2323,42,43,74.53703703703704,25.462962962962965
base,2323,42,44,76.85185185185185,23.148148148148152
base,2323,43,44,74.76851851851852,25.231481481481477
base,2329,42,43,58.86524822695035,41.13475177304965
base,2329,42,44,62.4113475177305,37.5886524822695
base,2329,43,44,63.12056737588653,36.87943262411347
base,2330,42,43,42.608695652173914,57.391304347826086
base,2330,42,44,25.217391304347824,74.78260869565217
base,2330,43,44,33.04347826086956,66.95652173913044
base,2332,42,43,61.15702479338842,38.84297520661158
base,2332,42,44,58.40220385674931,41.59779614325069
base,2332,43,44,55.78512396694215,44.21487603305785
base,2358,42,43,75.79617834394905,24.20382165605095
base,2358,42,44,42.675159235668794,57.324840764331206
base,2358,43,44,49.681528662420384,50.318471337579616
base,2362,42,43,27.941176470588236,72.05882352941177
base,2362,42,44,36.76470588235294,63.23529411764706
base,2362,43,44,39.705882352941174,60.29411764705883
base,2378,42,43,69.43620178041543,30.56379821958457
